job_id,max_salary,med_salary,min_salary,location
85008768,52000.0,,45760.0,"Chico, CA"
133114754,,,,"Santa Clarita, CA"
133196985,,,,"New York, NY"
381055942,,,,"Forney, TX"
529257371,,,,"New York, NY"
903408693,42000.0,,37000.0,"Albany, GA"
967848246,,,,United States
1004740969,,,,"Forney, TX"
1029078768,50.0,,50.0,"Muskegon, MI"
1053342128,,,,"Midland, TX"
1418582485,,,,"Las Vegas, NV"
1483357774,,,,"Louisville, KY"
1535492735,20.0,,18.0,"Ocoee, FL"
1657978824,12000.0,,12000.0,"Texas, United States"
1928027033,,,,"Minot, ND"
2148434014,,,,"Maine, United States"
2148434019,,,,"Connecticut, United States"
2148434032,,,,"Atlanta, GA"
2148434033,,65000.0,,"Phoenix, AZ"
2148434077,,,,"Patchogue, NY"
2148434137,,,,"New York, United States"
2148434265,,,,"Atlanta, GA"
2148434427,,,,"Richmond, VA"
2148434586,170976.0,,98640.0,"New Hampshire, United States"
2148434616,46.0,,19.0,"San Diego, CA"
2148434647,,,,"Miami, FL"
2148434686,,,,"Minneapolis, MN"
2148434725,79541.0,,55280.0,"Spokane, WA"
2148434726,79541.0,,55280.0,"Spokane, WA"
2148434909,117510.65,,91010.65,"Puyallup, WA"
2282679989,20.0,,15.0,"Los Angeles, CA"
2448418468,,,,"Miami, FL"
2481100553,,,,"Cincinnati, OH"
2517244756,15.0,,12.0,"Marietta, GA"
2634247615,,,,"Chillicothe, OH"
2649106600,190000.0,,160000.0,United States
2730408164,27.0,,18.0,"Roswell, GA"
2764358929,,,,"Daly City, CA"
2885838641,25.0,,18.0,"Winnetka, IL"
3047547711,45.0,,25.0,"California, United States"
3099261661,,,,Los Angeles Metropolitan Area
3108036575,90309.0,,82981.0,Greater Phoenix Area
3192471360,,,,"Mineola, NY"
3243289926,80000.0,,77000.0,"San Francisco, CA"
3268185281,,,,"Columbia, PA"
3313349770,45000.0,,40000.0,"Alexandria, VA"
3326588170,,,,"Englewood, CO"
3373346816,,,,"Chicago, IL"
3378133231,30.0,,22.0,"Los Angeles, CA"
3395626440,37.53,,27.63,"Arlington, WA"
3396803783,,,,"Mesa, AZ"
3419060873,,,,United States
3422104915,100000.0,,75000.0,"Ocala, FL"
3442372601,,,,"Herndon, VA"
3487275706,,,,"Henrico, VA"
3497509795,,,,"Annapolis, MD"
3497543368,,,,"Sacramento, CA"
3529464114,35.0,,25.0,"Long Beach, CA"
3532222332,50000.0,,37000.0,"Thomson, GA"
3532827942,,,,"Walnut, CA"
3538940637,,,,"Austin, TX"
3557311439,50000.0,,45000.0,"San Gabriel, CA"
3557380225,22.0,,15.0,"Juneau, AK"
3558876274,100000.0,,60000.0,"Honolulu, HI"
3562282884,,,,"Manitou Springs, CO"
3564601168,,,,"Miami-Dade County, FL"
3568598527,,,,"The Woodlands, TX"
3580193834,,,,"Nashville, TN"
3584068782,70000.0,,60000.0,San Francisco Bay Area
3586162459,,,,United States
3587706348,,,,New York City Metropolitan Area
3587919328,110000.0,,100000.0,"Baltimore, MD"
3596450056,,,,"New York, United States"
3601203087,120000.0,,70000.0,"Charleston, SC"
3601423875,,,,"Waterloo, IA"
3603640939,,,,"Logan, UT"
3606156203,,,,"Phoenix, AZ"
3618024320,70000.0,,55000.0,"Allendale, NJ"
3623811800,,,,"Ames, IA"
3626156340,75000.0,,70000.0,"Burbank, CA"
3627129770,,,,United States
3630997404,,,,"Sunrise Beach, MO"
3634090513,,,,San Francisco Bay Area
3635154108,22.0,,18.0,"Newport Beach, CA"
3636503102,18.0,,18.0,United States
3637608593,23.0,,18.0,Greater Phoenix Area
3638837564,,,,"Brick, NJ"
3640739067,,,,"Bellaire, TX"
3643209562,95500.0,,78000.0,"Seattle, WA"
3643371518,25.0,,20.0,Greater Orlando
3644109811,65000.0,,55000.0,"Madison, GA"
3644195109,,,,Atlanta Metropolitan Area
3653922092,,,,"Washington, DC"
3655655364,,,,"Dallas, TX"
3655683358,,,,United States
3657070723,350000.0,,200000.0,"Fullerton, CA"
3666015999,,33.59,,"Stratford, CT"
3666945557,,,,Greater Houston
3668771880,87000.0,,60000.0,"Boston, MA"
3669525119,,67.0,,"Columbus, IN"
3669562617,,,,"Texas, United States"
3670078576,17.0,,15.0,"Nampa, ID"
3670740369,,,,United States
3673294109,60000.0,,50000.0,"Thousand Oaks, CA"
3674000415,,,,"Byron, IL"
3674585247,,,,"Anniston, AL"
3675787336,,,,United States
3675787480,,,,"St Cloud, FL"
3676480207,,,,"Abbeville, SC"
3677721266,,,,United States
3678500518,28.0,,24.0,Washington DC-Baltimore Area
3679202159,,,,"Austin, TX"
3680144775,,,,United States
3680164564,220000.0,,160000.0,"Chicago, IL"
3680177756,,,,"Orange County, CA"
3680807523,210287.09,,159694.45,Greater Seattle Area
3680971274,,,,New York City Metropolitan Area
3681440546,65000.0,,45000.0,"Oklahoma City, OK"
3682818140,150.0,,100.0,"McKinney, TX"
3683918914,,,,"Raleigh, NC"
3683926341,,,,"North Canton, OH"
3684010877,,,,"Las Vegas, NV"
3684017664,,,,"St Louis, MO"
3684441939,,,,"Madison, WI"
3684448047,,,,"Columbia, MO"
3684455234,,,,"Austin, TX"
3684464103,,,,"Plano, TX"
3684955684,,,,"Davenport, IA"
3685418185,,,,"Mountain View, CA"
3687024983,,,,"Spring House, PA"
3687065358,,,,United States
3687520079,,,,"Miami, FL"
3688319458,175000.0,,150000.0,United States
3688980245,,,,"Dallas, TX"
3689394048,60.0,,45.0,"Cupertino, CA"
3689398039,,,,"St Petersburg, FL"
3689601907,,,,"Columbus, OH"
3689674972,,,,"Clearwater, FL"
3689687080,110000.0,,90000.0,"Buffalo, NY"
3689701585,,,,"New York, NY"
3690290550,15.0,,10.0,"Tuscaloosa, AL"
3690417417,,12.0,,"Middleton, MA"
3690418699,,12.0,,"Middleton, MA"
3690420325,,,,"Sylvania, OH"
3690458930,,,,"Smyrna, TN"
3690460845,,,,"Philadelphia, PA"
3690463255,23.1,,18.9,"Baltimore, MD"
3690464010,,,,Greater Philadelphia
3690464312,86000.0,,65000.0,"Beltsville, MD"
3690466064,,,,"Ithaca, NY"
3690468614,,,,Washington DC-Baltimore Area
3690470734,,,,"Baltimore, MD"
3690471580,,,,"Eldersburg, MD"
3690472919,,100000.0,,"Clarksville, IN"
3690489493,100000.0,,80000.0,"Houston, TX"
3690492617,,,,"De Forest, WI"
3690494629,,,,"Dyersville, IA"
3690496660,,,,"Wellesley, MA"
3690601234,80000.0,,60000.0,"Dyersville, IA"
3690604864,,,,"West Columbia, SC"
3690610800,,,,"Oklahoma City, OK"
3690611859,,,,"Wichita, KS"
3690613145,80000.0,,64389.0,"Archbold, OH"
3690614159,45000.0,,35000.0,"Grand Rapids, MN"
3690622639,65000.0,,55000.0,"Milwaukee, WI"
3690627674,,50000.0,,"Henrico, VA"
3690635702,,,,"Brentwood, TN"
3690637337,,,,"Washington, DC"
3690650655,,,,"Exeter, NH"
3690652915,,,,"Chicago, IL"
3690661006,,,,"Orlando, FL"
3690663520,,,,"Philadelphia, PA"
3690664476,,,,"Malvern, PA"
3690664657,,,,"Utica, MI"
3690665137,,,,"Miami, FL"
3690665864,,,,"Overland Park, KS"
3690668153,,,,"Valley Cottage, NY"
3690671085,,,,Washington DC-Baltimore Area
3690671366,72000.0,,65000.0,"Goshen, NY"
3690671407,,,,"East Lyme, CT"
3690673180,,,,"Burlington, VT"
3690673578,,,,"Tampa, FL"
3690674396,,,,"New York, NY"
3690679726,,,,"Tampa, FL"
3690689188,70000.0,,70000.0,"New London, CT"
3690692186,,,,"Hudson, OH"
3690697852,,,,"Charlotte, NC"
3690699783,,,,"Providence, RI"
3690699930,,,,"Providence, RI"
3690804650,190000.0,,127000.0,"Largo, FL"
